id:__26J2Z5Tno
title:WWE Smackdown 09-13-16  Womens Fatal 5 Way #1 Contenders Match
categoryId:17
publishedAt:2016-09-14T14:29:54.000Z
location:25.336626466767306,-21.105906021254146
description:WWE SMACKDOWN LIVE 9/13/16 WATCH FREE HD WATCH WWE NETWORK FREE WWE DRAFT WWE ROSTER SPLIT BRAND EXTENSION WWE RANDY ORTON RETURN 2016 WWE WATCH BATTLEGROUND 2016 FREE LIVE HERE WWE MONDAY NIGHT RAW WWE DIVAS REVOLUTION CHARLOTTE BECKY LYNCH PAIGE DANA BROOKE SASHA BANKS BAYLEY NAOMI CAMEROM EVA MARIE NIKKI BELLA THE  BELLA TWINS BRIE BELLA SUMMER RAE EMMA NATALYA TAMINA SNUCKA WOMENSCHAMPIONSHIP MATCH ALEXA BLISS EVA MARIE CARMELLA BAYLEY WWE SUMMERSLAM 2016 Watch live FREE
Author:DETERMINADOR SUBCONSCIENTE	AuthorChannelId:UClYM_6G1aq1jU97zac3qNsA	Comment:Becky 👞tao	PublishAt:2017-07-21T06:36:36.000Z
Author:Irionna Wallace	AuthorChannelId:UCkaCTyX-aMwXd8qge4cibcA	Comment:ok love y,y'all wwe  good	PublishAt:2017-04-30T15:16:09.000Z
Author:Yusuf Enes  Abic	AuthorChannelId:UCK8UnB8m5D5h96BhfirhyIw	Comment:KANCIKLAR SUSNHSNSNSHSMSSU  TÜRKLER SAHNEYE PLSSS	PublishAt:2017-04-20T16:49:24.000Z
Author:Aditya Roy	AuthorChannelId:UC7CBrXfiW-Y9D901n__DiUw	Comment:pls can somebody help me with the name of the song on which Naomi was dancing..	PublishAt:2017-03-29T09:57:28.000Z
Author:Alan Wolferatu	AuthorChannelId:UCLgGOLKt1_U55TCCZnkFyuA	Comment:Becky speaks like Rocky Balboa but i love her accent!	PublishAt:2017-03-29T01:39:27.000Z
Author:I LUV DONUTZ	AuthorChannelId:UCw9XmvnboKWD5afP8mENBcQ	Comment:Becky looks fun to hang with	PublishAt:2017-03-24T09:37:07.000Z
Author:Broken Life	AuthorChannelId:UCGjmuau1xf54jkJOaC4MkDQ	Comment:damn it what a shot 7:10	PublishAt:2017-03-23T15:18:48.000Z
Author:Mark Saxon	AuthorChannelId:UCqInDMJbJYgJMPYwh0VTAfQ	Comment:Becky lynch is afraid of me	PublishAt:2017-03-16T17:48:25.000Z
Author:TheYellowSlimeGamer	AuthorChannelId:UCQ1aAUmds2tFrDvAms7rjQg	Comment:I know it's fake and all but it's kinda entertaining	PublishAt:2017-03-07T23:42:03.000Z
Author:Yodely Gomez	AuthorChannelId:UCQZD8oBlV3sNCdh3noiSjLg	Comment:Lol Naomi just lost a trick her trick gone wrong!!!	PublishAt:2017-03-01T00:22:52.000Z
Author:Yodely Gomez	AuthorChannelId:UCQZD8oBlV3sNCdh3noiSjLg	Comment:Nikki Bella tackled the shit out of Carmela	PublishAt:2017-03-01T00:19:15.000Z
Author:Hershey and Galaxy's Corner	AuthorChannelId:UCweViM9_bswHm1dO6PnH4Bw	Comment:I'm still on team Bella Nikki or Nikki bella	PublishAt:2017-02-24T23:26:20.000Z
Author:juan roman riquelme	AuthorChannelId:UCOK_mfIJj9yOmK7J33lpypg	Comment:me encanta ls de azul	PublishAt:2017-02-11T11:21:17.000Z
Author:Chandra Mohan	AuthorChannelId:UCiBoGjav5P4goWxLjR3iR3Q	Comment:Good	PublishAt:2017-02-05T08:59:29.000Z
Author:Chandra Mohan	AuthorChannelId:UCiBoGjav5P4goWxLjR3iR3Q	Comment:Good	PublishAt:2017-02-05T08:59:18.000Z
Author:Lukas Altner	AuthorChannelId:UCL0zA95VyGLNEvkHZ4AI6Kg	Comment:becky's voice and accent is sooooo bad :D	PublishAt:2017-02-02T02:31:59.000Z
Author:Samantha Corrales	AuthorChannelId:UCAyKKhDh2n2vdgpg9BRZSjg	Comment:carmella is a bitch	PublishAt:2017-01-18T01:47:45.000Z
Author:Nicolas Velasquez	AuthorChannelId:UC9hx3OuMmndP9WDErUrKPMg	Comment:Nico	PublishAt:2017-01-17T18:34:34.000Z
Author:roberta johnson	AuthorChannelId:UCV78d6zJhZ-2Z3iiko1od8w	Comment:becky lynch is not the sidekick of sylvester stallone	PublishAt:2017-01-11T06:59:36.000Z
Author:Lanhia Crosby	AuthorChannelId:UCAW9-eNp_tm4baEyu0ovdtw	Comment:The weakest one wins	PublishAt:2016-12-29T08:17:23.000Z
Author:Vinicius Henrique	AuthorChannelId:UCj6cFOCRfRFcaoj9R_V57IA	Comment:Oh my god how I miss the old divas division	PublishAt:2016-12-27T23:55:32.000Z
Author:Taylor Swift	AuthorChannelId:UC4MOuyS3oJ8Nqy21reovagg	Comment:Naomi They said she was WWE's version of Nikki Manaj	PublishAt:2016-12-22T12:56:29.000Z
Author:Pr0 GengOo	AuthorChannelId:UC90csli3BQRqHRcFDNQfDow	Comment:I did not see that coming... Apparently Bella didn't also - too bad, I like her	PublishAt:2016-12-13T23:19:41.000Z
Author:BFFE Bestfriendforever	AuthorChannelId:UCqMI1exhJC5FIfIW0vkmKcQ	Comment:I hope you win alacser I ❤️❤️❤️❤️❤️❤️💙💙❤️💙💙💙💙💙💙💙💙💙💙💙💙❤️💙💙💙❤️💙💙❤️💙💙you I'm your biggest fan	PublishAt:2016-11-24T10:52:41.000Z
Author:Truc Linh Dole	AuthorChannelId:UCwQVcV4fP67UvivKrE7cb-w	Comment:I hate Naomi's entrance. It's gonna give someone a epileptic attack. And it's WAY to long! GO BELLA ARMY!!   GO NIKKI BELLA!🙏🏼❤️❤️❤️ Love you and I hope you fully recover from your injury.🎉	PublishAt:2016-11-22T18:07:11.000Z
Author:Nand Laal	AuthorChannelId:UCqcIQff3xOFQJ7fejLyH45Q	Comment:.	PublishAt:2016-11-22T14:38:25.000Z
Author:Alijah Simms	AuthorChannelId:UC18_wVMya3fZ-QhqljB99Lw	Comment:If WWE Is Fake How Did Nikki Bella Really Break Her Arm	PublishAt:2016-11-18T04:31:15.000Z
Author:Ivan Simic	AuthorChannelId:UCW1QwVqjT8m8G2NVBxqp1aQ	Comment:nikki bella ist best	PublishAt:2016-11-16T14:47:49.000Z
Author:Anavi ach	AuthorChannelId:UCPe9FODxR8CTUB1U9QnIX6A	Comment:DAMP NIKKI ❤️💕👑🔥	PublishAt:2016-11-13T04:47:31.000Z
Author:Saelyn Firby	AuthorChannelId:UC6s22sEu9GkviQVfFwFnREw	Comment:Not really	PublishAt:2016-11-06T13:09:14.000Z
Author:Nelly dee	AuthorChannelId:UCtf8HhvUsVxKnDRXPrXPbbA	Comment:carmella is a better summer rae but equally annoying 😣😒	PublishAt:2016-10-31T22:58:01.000Z
Author:Lady D Ivette	AuthorChannelId:UCM2ebdMTCzQtVRk1VGt-TgQ	Comment:do you talk like that	PublishAt:2016-10-29T21:17:08.000Z
Author:Sing ZACHARY	AuthorChannelId:UCwuXe-kuLoeIZCX3mY7evNQ	Comment:Alexa bliss is an ass	PublishAt:2016-10-29T15:53:12.000Z
Author:Radio Active56	AuthorChannelId:UCpmcCD-3W_06AwLmA5DINng	Comment:Pika	PublishAt:2016-10-23T10:47:51.000Z
Author:Marifer Alonso Hdz	AuthorChannelId:UC_p7gfP7t0ulc3n_f45HgaQ	Comment:Alexa biss🖕🖕👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎🖕🖕🖕🖕🖕	PublishAt:2016-10-23T01:26:22.000Z
Author:Careem Smith	AuthorChannelId:UCg7eG9kqj0oj9QDTk5dDbWQ	Comment:This was a great match.	PublishAt:2016-10-21T06:28:50.000Z
Author:Miss Lilou	AuthorChannelId:UChaVBNUw6m2fyBID39h0trA	Comment:Yes	PublishAt:2016-10-20T17:53:05.000Z
Author:Jesus A. Hurtado	AuthorChannelId:UC_XUpl_BcPoqMaK-Hb92yTA	Comment:Natalya pretended she wanted to go after carmella when carmella entered the ring but instead went after naomi.	PublishAt:2016-10-17T01:44:10.000Z
Author:cecilia leon	AuthorChannelId:UC-yF304ZBBZ50diViyBIGrg	Comment:buena	PublishAt:2016-10-16T20:45:34.000Z
Author:Helaman Aiwohi	AuthorChannelId:UCXwIWgn21QsktNfn5el7JLA	Comment:Sasha Banks is good	PublishAt:2016-10-12T00:54:06.000Z
Author:Helaman Aiwohi	AuthorChannelId:UCXwIWgn21QsktNfn5el7JLA	Comment:Carmela hast to aliminated	PublishAt:2016-10-12T00:52:55.000Z
Author:Helaman Aiwohi	AuthorChannelId:UCXwIWgn21QsktNfn5el7JLA	Comment:I don't like Balisa	PublishAt:2016-10-12T00:50:48.000Z
Author:Helaman Aiwohi	AuthorChannelId:UCXwIWgn21QsktNfn5el7JLA	Comment:Can Kelly Kelly be in this match	PublishAt:2016-10-12T00:47:00.000Z
Author:Amy's Vids	AuthorChannelId:UCqFqy3SZs1RlhU6QwSlDW5A	Comment:I can tell you something Natalya nooooooooo	PublishAt:2016-10-10T18:22:17.000Z
Author:Rita Morris	AuthorChannelId:UCI2qVoynTMYIh_IoJCQTryw	Comment:alexa bliss she isnt harley quinn i am she is a bitch	PublishAt:2016-10-09T18:47:19.000Z
Author:Benetton Blade	AuthorChannelId:UCMamGfmMzmibSA9QCtSvIQw	Comment:nikki fuck	PublishAt:2016-10-09T01:10:40.000Z
Author:Jessica Arteaga	AuthorChannelId:UCkMBNMXbVf5dVu90ZzmsXbQ	Comment:i love you nikki 😃	PublishAt:2016-10-08T04:03:43.000Z
Author:my baby perrie	AuthorChannelId:UCWR18Iv23LFU5EzIVzdbgDA	Comment:Lmao The MoonWalk Is Carmellas Thing And Naomi  Can Do It Better Than Her......Nikki And Naomi Are Queens	PublishAt:2016-10-07T16:44:16.000Z
Author:SmileyTheKID3991	AuthorChannelId:UCjhNbUlxtB-D_Tgfio9zkPQ	Comment:smackdown woman division is so much better than raws	PublishAt:2016-10-07T07:48:54.000Z
Author:Ejay Ejara	AuthorChannelId:UCVGLEqqvPZQWqutQafEiBdw	Comment:i love the entrance of naomi	PublishAt:2016-10-07T03:52:07.000Z
Author:killer neith	AuthorChannelId:UCKIJYurCV0a8PVZdlZyjEkw	Comment:ikr i hate carmella as well	PublishAt:2016-10-06T06:03:05.000Z
Author:Mohammad talha	AuthorChannelId:UCbgqwd0D2yJJOqbx_m_D8Mw	Comment:no one like carmella fight	PublishAt:2016-10-03T04:12:25.000Z
Author:Mohammad talha	AuthorChannelId:UCbgqwd0D2yJJOqbx_m_D8Mw	Comment:carmellaa is just cheater nothing else	PublishAt:2016-10-03T04:09:19.000Z
Author:Jacklyn Bennett	AuthorChannelId:UC-CX2puyYu8VM9_ltDLLaBg	Comment:wah is wrong wid caemela. brie where are u???? cum an knock down dat bvtch carmela	PublishAt:2016-10-02T00:14:47.000Z
Author:kola mass	AuthorChannelId:UCyI0Jzq7hrbUKgAJDkQ1wSQ	Comment:current wwe divas r not good	PublishAt:2016-09-28T11:51:15.000Z
Author:Jaylin Boykins	AuthorChannelId:UCgCkppS7kV45DLuMfqUfOeg	Comment:I love Smackdown but I need them to get more women wrestlers so we don't get bored with the little we have.	PublishAt:2016-09-26T20:32:53.000Z
Author:Emmalina	AuthorChannelId:UCl7UdSnkFmf3yvz3OxeEhRA	Comment:Im happy for bliss but too soon to win title,but now best time to step up her game..Becky will still have title after no mercy	PublishAt:2016-09-25T05:02:49.000Z
Author:Hailey Markel	AuthorChannelId:UCtFeM6jNzZo9I11t_-KWY_w	Comment:I'm  a cheerleder	PublishAt:2016-09-25T02:46:23.000Z
Author:Hailey Markel	AuthorChannelId:UCtFeM6jNzZo9I11t_-KWY_w	Comment:I agree with the last comment she is ugly	PublishAt:2016-09-25T02:31:10.000Z
Author:ishaque mallick	AuthorChannelId:UC6AHUnL6A4QMCECqTvQRwpQ	Comment:her voice😨😨😨😨	PublishAt:2016-09-24T18:31:36.000Z
Author:dean winchester	AuthorChannelId:UCIO1ozH5diFI7SQnQs2-rJg	Comment:alexa bliss is lovely !! hottest the best	PublishAt:2016-09-24T04:42:07.000Z
Author:Zaline hope	AuthorChannelId:UCrimHzFk9OPreHY1ZhtxQHQ	Comment:alexa won just a case ...Nikki still the best..	PublishAt:2016-09-23T03:10:24.000Z
Author:Shahzad Ali	AuthorChannelId:UCC-omH1MWOQOLtvo2Po0FIw	Comment:i am shahzad Ali at Blackpool	PublishAt:2016-09-22T02:02:36.000Z
Author:estee simpson	AuthorChannelId:UCrrTMtKdKtDq-ngTX_FkjQA	Comment:Carmella belongs in nxt not raw or SmackDown sorry if I hating but I just don't like her	PublishAt:2016-09-21T20:52:36.000Z
Author:sri suryaningsih	AuthorChannelId:UCSK7n3MSX1f0iIUWC8butUA	Comment:ah	PublishAt:2016-09-21T06:19:59.000Z
Author:The Dashing One	AuthorChannelId:UC38ahk46H-VneuhPpAox9kA	Comment:"Harley Quinn of WWE", next joke please 😂😂 Not a Nikki Bella fan, but I felt bad for her that she got pinned, it should have been Carmella, not Nikki.	PublishAt:2016-09-20T15:40:20.000Z
Author:brie bella	AuthorChannelId:UChHOS_WTpKq9BbZpx0sTbTA	Comment:alexsa like a wrestling kids.ahahahaahahhh	PublishAt:2016-09-20T07:58:01.000Z
Author:Trang anh	AuthorChannelId:UC0ULpvyAlRkJp4Eso266k9A	Comment:nikiki 6:45	PublishAt:2016-09-20T06:26:26.000Z
Author:Mesbah RM	AuthorChannelId:UClL5piup6ZGu-3MY6oY0zgw	Comment:very good	PublishAt:2016-09-20T03:42:20.000Z
Author:Sounds Up!	AuthorChannelId:UCVbKr7o2nLOo_QYFzUaKA7w	Comment:Omg at 7:44 I hear "Naomi catches her with a dick" HAHAHAHAHA	PublishAt:2016-09-19T20:02:51.000Z
Author:nic	AuthorChannelId:UCKENM-bmp01H7EUGA5eO5rg	Comment:natalya is the best	PublishAt:2016-09-19T17:28:31.000Z
Author:Maria Kontogouris	AuthorChannelId:UCrfKCVXiNvKatTCQoxEQa5Q	Comment:Nikki dominated this match! Queen!	PublishAt:2016-09-19T02:25:43.000Z
Author:Mint Green	AuthorChannelId:UCfq2oh1D9A0fKqekpyvsQAQ	Comment:Ok I know they broke up but team PCB was a first champion Paige = first NXT women's champion Charlotte = first WWE women's champion Becky = first smackdown women's champ	PublishAt:2016-09-19T00:56:27.000Z
Author:Jose Rodriguez	AuthorChannelId:UChM-QMzc1cOeIb40E8UiHYg	Comment:Alexa Bliss can't even wrestle	PublishAt:2016-09-18T23:44:31.000Z
Author:Jose Rodriguez	AuthorChannelId:UChM-QMzc1cOeIb40E8UiHYg	Comment:Carmella was sleeping like this whole entire match!!	PublishAt:2016-09-18T23:42:48.000Z
Author:WP JAZZIE	AuthorChannelId:UCh0C54QDa8OtCTvHanKUyAg	Comment:Seriously, when will they give Naomi a break. She's talented.﻿	PublishAt:2016-09-18T19:33:20.000Z
Author:Shay Loretta	AuthorChannelId:UCZ6SLlCjZmo_N-MvALSIp3w	Comment:Nikki is a power house!	PublishAt:2016-09-18T19:14:41.000Z
Author:Shay Loretta	AuthorChannelId:UCZ6SLlCjZmo_N-MvALSIp3w	Comment:Nikki 😍	PublishAt:2016-09-18T19:03:08.000Z
Author:evie taken in	AuthorChannelId:UCQqYb4iQkNrKeHY5BBBO-hw	Comment:wat	PublishAt:2016-09-18T17:55:46.000Z
Author:Raynolds Abiola	AuthorChannelId:UCAXkmWhmUiUWAaMorlIMmuA	Comment:very good	PublishAt:2016-09-18T15:14:31.000Z
Author:Lily Haacke	AuthorChannelId:UC2s3CTGagoiEKwRCIE9K4cg	Comment:I love Nikki's costume	PublishAt:2016-09-18T11:16:17.000Z
Author:Stephen Lee	AuthorChannelId:UCjpmjfVVcO_CSaVfuP1ME2A	Comment:Nikki bella slayed tonight! and Alexa Bliss at 11:05-11:07 was just adorable.	PublishAt:2016-09-18T10:32:30.000Z
Author:Jose Mendez	AuthorChannelId:UCfG4n66irPh8Ej9MgiPwxig	Comment:follow Nikki bell on Snapchat her username is thenikkibella2	PublishAt:2016-09-17T21:04:10.000Z
Author:Adnan Afzal	AuthorChannelId:UCztr19YiccLsQbcrViEtn3Q	Comment:i want nikki bella t0 win championship but she l0se this 0ne n0.1 c0ntender match...0hh god	PublishAt:2016-09-17T10:33:19.000Z
Author:iLaa Wahyu	AuthorChannelId:UCaz59NH89wngQS1E9ABa-jA	Comment:Beckys voice is so cool 😍	PublishAt:2016-09-17T09:03:59.000Z
Author:lolo singh	AuthorChannelId:UCrL6JHefkDF-PBRfZ6dGhDQ	Comment:Beckys voice is ugly	PublishAt:2016-09-17T08:19:40.000Z
Author:100percent Romania	AuthorChannelId:UCKy9TR4vataSYeHWNO24hXQ	Comment:didn't nikki would to be the first smackdown woman champion?	PublishAt:2016-09-17T07:57:16.000Z
Author:Dad Mam	AuthorChannelId:UCw9gmSW8E-Dc6WpBWzEn5yQ	Comment:Nikki so saxi beautyfull	PublishAt:2016-09-17T05:38:37.000Z
Author:Dad Mam	AuthorChannelId:UCw9gmSW8E-Dc6WpBWzEn5yQ	Comment:Nikki so saxi beautyfull	PublishAt:2016-09-17T05:37:53.000Z
Author:Lady Dianne Gabriel	AuthorChannelId:UCAqEBetxM9gLZHVDfiM9ocw	Comment:Carmella malande	PublishAt:2016-09-17T01:44:45.000Z
Author:CHEESE TheCowfish	AuthorChannelId:UCCFnn44g6ZkG2KTKtAUe-YQ	Comment:i cant see naomi's face in the dark	PublishAt:2016-09-17T00:42:54.000Z
Author:CHEESE TheCowfish	AuthorChannelId:UCCFnn44g6ZkG2KTKtAUe-YQ	Comment:Becky sounds like a man	PublishAt:2016-09-17T00:41:49.000Z
Author:Fit DanceFã	AuthorChannelId:UCs9zL-8vOKDixiAHotxOThg	Comment:Carmella💞💞 Te Adoroo	PublishAt:2016-09-15T16:32:42.000Z
Author:JelenaVEVO	AuthorChannelId:UCq0XtAADB_8W5HiFuUW13AQ	Comment:NIKKI BELLA KILLED IT😘😘😘	PublishAt:2016-09-15T10:07:04.000Z
Author:cloud kiem	AuthorChannelId:UC-3t1o9x4XM7lASmiZUZ8sA	Comment:ohh my god .  nikki is so hot	PublishAt:2016-09-15T07:05:57.000Z
Author:James Salazar	AuthorChannelId:UCDIle4P7J08I4BaN8_AwU9Q	Comment:NIKKI BELLA IS SUPER POWER BECAUSE SHE IS BEAUTIFUL YEH!!!!	PublishAt:2016-09-15T06:57:31.000Z
Author:annie parker	AuthorChannelId:UCYCpZtkSfrEpjaimDBLvYLg	Comment:Dark as Naomi  is last thing she need is the lights out.	PublishAt:2016-09-15T03:36:43.000Z
Author:Patrick Ramos	AuthorChannelId:UCK4vXsE4RGFNIa-cTYfouEQ	Comment:The way how Nikki slammed Natalya into the barricade ... Wow!	PublishAt:2016-09-14T21:07:50.000Z
Author:Sylvia Leandry	AuthorChannelId:UC3E8o6I5CHqmze2mz1li18A	Comment:I love Naomi outfit	PublishAt:2016-09-14T20:41:33.000Z
Author:Daniel Gila	AuthorChannelId:UCBBYnwA1B34arQi1u9gVaWQ	Comment:nikki ..please wake upp ..i beleve you can do itt ..muahh for u ..bee stronggg like before ..	PublishAt:2016-09-14T17:42:18.000Z
Author:Czekolek	AuthorChannelId:UC-d--WG-qCpwPoyaW1sDyoA	Comment:why the fuck Carmella has a FABULOUS writen on her chest? She is ugly..	PublishAt:2016-09-14T15:34:33.000Z
Author:KDUB #turntupmatters	AuthorChannelId:UCBGN9Jz7e80A3nvB71EPVsw	Comment:I'M LOVIN THE FACT WWE IS ALLOWING THE WOMEN TO SHOW CASE WHY WOMEN WRESTLING MATTERS!!! THANK YOU WWE AND NO MORE DIVAS BABY!!!	PublishAt:2016-09-14T15:31:19.000Z
Author:jdanramrod30	AuthorChannelId:UCKZ2O9ncF3CQ95Rdb8tcLTw	Comment:Thank you for upload the match. Alexa rocks	PublishAt:2016-09-14T14:44:00.000Z
