id:__nLVm_ZwF4
title:How I Lost My LOVE HANDLES And Got RIPPED!
categoryId:17
publishedAt:2016-04-03T17:37:45.000Z
location:10.990537580805299,19.480766118581407
description:►ONLINE COACHING - RamGhumanOnline@gmail.com  FOLLOW ME!  ►Facebook Page - ''Ram Ghuman" ►Instagram - https://instagram.com/ramghuman/ ►SnapChat - ramghuman ►Twitter - https://twitter.com/ramghuman
Author:Gavin James	AuthorChannelId:{value=UCbBF7JynGsa36Wl9ZSCducw}	Comment:I store fat on my love handles and chest	PublishAt:2018-01-26T02:48:31.000Z
Author:Sumedh Yadav	AuthorChannelId:{value=UCNa5fitmWF0GnfhD7T9_cXA}	Comment:bro improve yOur ACCENT	PublishAt:2017-07-11T11:44:34.000Z
Author:yogesh rajput	AuthorChannelId:{value=UCR4_1sVHmaUgIRuUDZ9tQfg}	Comment:Abe chutiye tu pehle apni body bana	PublishAt:2017-07-01T16:51:11.000Z
Author:ADDIS ABABA	AuthorChannelId:{value=UCWYGT33b8EAfizOtz-z3guA}	Comment:if it's not possible,why making video?	PublishAt:2017-06-24T15:25:27.000Z
Author:Fernando Vasquez	AuthorChannelId:{value=UCoANOERPRPX78cqPhD-A4YA}	Comment:should i cut till the handles are gone before i start bulking? i wanna be big but as i grow my handles just ruin my physique as a whole!	PublishAt:2017-06-13T03:49:03.000Z
Author:Akash Singh	AuthorChannelId:{value=UC0ikkGdooUY2AeoDXO2pTRA}	Comment:what the fuck is wrong with your accent.. 😒	PublishAt:2017-06-08T14:50:39.000Z
Author:Ruma Tarar	AuthorChannelId:{value=UCsUsm7ehHutYq75Z1ryDX9w}	Comment:bhai you are so beautiful 😍	PublishAt:2017-05-31T16:28:45.000Z
Author:Julián Saldarriaga	AuthorChannelId:{value=UC_oVe533791BOLkzM3FVfVQ}	Comment:Increase work load? I thought was the opposite.	PublishAt:2017-05-30T16:51:31.000Z
Author:T Dawg	AuthorChannelId:{value=UCYfLCcLvw2FdTmXmiq5SmXQ}	Comment:Great video. Very inspirational and informative! I have the same body type as you...hoping to get rid out those nasty love handles soon. Thanks!	PublishAt:2017-05-19T18:25:48.000Z
Author:Mayank Sharma	AuthorChannelId:{value=UCxWLhPtekTv4ipr_uCMMK-A}	Comment:tmeej se bola kr.. muh me gutka rehta h kya	PublishAt:2017-05-10T13:52:20.000Z
Author:CASH FORCE	AuthorChannelId:{value=UCGn3roq4xdu9WF_mTf-Jbjw}	Comment:i closed the video at the start	PublishAt:2017-05-01T13:03:41.000Z
Author:JJ Dominguez	AuthorChannelId:{value=UC1sKHZYXoSMWR6ec6UdDkEA}	Comment:I fucking hate my love handles	PublishAt:2017-04-30T22:08:18.000Z
Author:JJ Dominguez	AuthorChannelId:{value=UC1sKHZYXoSMWR6ec6UdDkEA}	Comment:So it's time and cardio? Burn more calories than what u intake?	PublishAt:2017-04-30T22:08:07.000Z
Author:OperationEndGame	AuthorChannelId:{value=UC3ri8mUZe-nF-kz36LjAn1g}	Comment:Love handles? It's called Orgy Grip.	PublishAt:2017-04-27T04:22:05.000Z
Author:Arron875	AuthorChannelId:{value=UC931GD8QcGYrVJkDUB4KDWA}	Comment:its horrible when you have abs but still have the love handles	PublishAt:2017-04-22T09:57:06.000Z
Author:Preesha Lad	AuthorChannelId:{value=UCOX2ahsrD0yA93uxPUjb9OA}	Comment:you looked better with the love handles	PublishAt:2017-04-15T13:00:13.000Z
Author:lil vato	AuthorChannelId:{value=UCjXXiBqk1kM4yxPwHrcIisw}	Comment:can you give me your diet and workout plan please	PublishAt:2017-04-14T18:12:39.000Z
Author:Andrew Salinas	AuthorChannelId:{value=UC1GvwiVsve0l788D9aNOh3w}	Comment:I hate my love handles	PublishAt:2017-04-07T14:47:39.000Z
Author:RSV4 Rider	AuthorChannelId:{value=UClPvvx-78WHocF_LDGqYj4g}	Comment:Hi, Did you use fat burner at any stage ?	PublishAt:2017-04-01T13:58:20.000Z
Author:k. Alhussain3	AuthorChannelId:{value=UC6ExwBSL4985AshKV-hKnNg}	Comment:right but this is the hard way to lose it	PublishAt:2017-04-01T07:01:40.000Z
Author:veshal Tyagi	AuthorChannelId:{value=UCVZo2s1b5f8-NYqe5lOvktg}	Comment:Mother fucker did you even tell a single thing	PublishAt:2017-03-31T20:15:38.000Z
Author:Niranjan Selvam	AuthorChannelId:{value=UCYBeoFESroFX2keAVmUu38g}	Comment:bro if I do workout in evening at what time i should include cardio in my workout regime...   whether at  1. early morning (empty stomach ) 2. before workout at evening 3. or after workout ??  kindly clear my doubt	PublishAt:2017-03-31T06:06:34.000Z
Author:Basil Fabian	AuthorChannelId:{value=UCsudqekMtM7zS538Djyjh4g}	Comment:Thanks for the video. I've been doing all kinds of exercises to lose the love handles but their still there. Happy to know that it was for nothing lol	PublishAt:2017-03-28T20:16:27.000Z
Author:rakshit sharma	AuthorChannelId:{value=UCFkAMqkYvP0Rpz55YPBHa7w}	Comment:Ram you are my inspiration!	PublishAt:2017-03-25T06:09:12.000Z
Author:Rohit Priyadarshi	AuthorChannelId:{value=UCJvd9v2f8UpXyea-TFu-xzQ}	Comment:3 months back I was almost like this . however i followed this video and went for a calorie deficit and yes i lost 7 kg and a significant amount of fats... However no muscle gain as such...but fatloss and muscle is like stepping into two boats sailing differently	PublishAt:2017-03-24T03:38:42.000Z
Author:at justcallme_dell	AuthorChannelId:{value=UCvYRxznsNrvwwdEtS97yU1Q}	Comment:oh my god, I just fell in loooooove. lol	PublishAt:2017-03-24T01:10:23.000Z
Author:varun verma	AuthorChannelId:{value=UCinF5ABt00DKsENkg7LF1uA}	Comment:stop repeating yourself buddy. you started speaking at the middle of the video. get more content	PublishAt:2017-03-23T17:53:04.000Z
Author:Romeo Sarmiento	AuthorChannelId:{value=UCXXKRVIn0Au0-3dV-gwRtyA}	Comment:You look good	PublishAt:2017-03-22T22:51:08.000Z
Author:akshay purohit	AuthorChannelId:{value=UCYUjLcqxYuvgQPJWSUbcn_w}	Comment:bc chutiya bana raha hai..he didnt even tell... how to get ridd of from love handles..he just said nothing about exercise..what to do ..how to do!! this video is not helpfull at all..its a crap!🖕👎	PublishAt:2017-03-22T20:26:30.000Z
Author:mansudha rao	AuthorChannelId:{value=UCaRtUEHVQNdr-nOBJ4Mkb_w}	Comment:skipping also useful	PublishAt:2017-03-22T12:50:06.000Z
Author:lavanya bhargava	AuthorChannelId:{value=UCUJB5ncRhX6n0Zh_HWhUSlQ}	Comment:hey  man amazingg video.my only concern is,whenever i go into a calorie deficit i look less muscular.as in i look really small.for sure the love handles start to look smaller too.but is there no way i can maintain my muscles and loose them handles simultaneously.peace	PublishAt:2017-03-19T18:22:09.000Z
Author:Vishal Hawale	AuthorChannelId:{value=UCtT997dnj4KKV7DLWUIrjFQ}	Comment:Are you British bro?	PublishAt:2017-03-16T09:07:59.000Z
Author:Omar Gamil	AuthorChannelId:{value=UCLWptQPGLq0IKcgUU0gTeLA}	Comment:well said..i agree	PublishAt:2017-03-15T15:51:01.000Z
Author:Chandan Nayak	AuthorChannelId:{value=UCAmBSz7IeNvK-6peZuzGBpA}	Comment:The guy who said Titties XD	PublishAt:2017-03-14T07:12:33.000Z
Author:Dibyangshu Baruah	AuthorChannelId:{value=UCDyHZwUVFV6rhrENKpOh29g}	Comment:Try beachbody's Insanity. it will get rid of any type of fat in your body stored wherever doesn't matter..	PublishAt:2017-03-13T20:47:49.000Z
Author:Rupen Pradhan	AuthorChannelId:{value=UC0-t7AF8NJ5KrZFQseFrBqg}	Comment:honest.....suggestion i have ever seen	PublishAt:2017-03-13T09:13:39.000Z
Author:Vinay Kamrani	AuthorChannelId:{value=UCLW01lLKb3PrHmCUNgGzSHQ}	Comment:you certified trainer bro?	PublishAt:2017-03-12T07:55:35.000Z
Author:Butt Face	AuthorChannelId:{value=UCzHyrSIc-Mj4aTcrjPw2u5g}	Comment:this motherfucker said it took him 90 days. I've been trying to look like his after for 3 years now. talk about demoralizing.	PublishAt:2017-03-10T12:42:18.000Z
Author:ANFAL ABOOBAKER	AuthorChannelId:{value=UCNjeRhUe3J_jM7aH5lVWEZA}	Comment:awsome presentations ..you couldn't have to ask for subscriptions. .if anyone saw .automatically will subscribe and like your vedio..good job bro	PublishAt:2017-03-10T09:29:53.000Z
Author:Gurpreet khosa	AuthorChannelId:{value=UCKa2EE-6tCbKtZ5TBNkTQzQ}	Comment:BLOODY Fake Accent	PublishAt:2017-03-10T08:36:48.000Z
Author:faizal cp	AuthorChannelId:{value=UCq1bjSIkDXo8euB-fu2FhHQ}	Comment:💪🏻	PublishAt:2017-03-10T06:46:41.000Z
Author:Aamir khan	AuthorChannelId:{value=UCH8pYz0oMYYopbxC8i6877A}	Comment:Talk in Hindi	PublishAt:2017-03-10T05:24:58.000Z
Author:Colton Howard	AuthorChannelId:{value=UCeImYsxqYyoAglTzPyxOtYg}	Comment:I have love handles at the moment. I do weight training (30 minutes) once a week, along with speed and agility (change of direction, etc.) I'm only 13 (5'10 140lbs), but want to be able to take my shirt off, and not be embarrassed. What kind of exercises would help based on my needs? Also, I've been trying to do 25 push up and 50 setups a day, while starting to run a mile a day. Any help please?	PublishAt:2017-03-10T02:14:51.000Z
Author:Fire Fretzzz	AuthorChannelId:{value=UCOcEuxLHe5EyqKaBkLr8Sqw}	Comment:Why are you faking your accent bro ??? Anyways nice video..	PublishAt:2017-03-07T15:03:18.000Z
Author:Vinay Kamrani	AuthorChannelId:{value=UCLW01lLKb3PrHmCUNgGzSHQ}	Comment:Chutiya	PublishAt:2017-03-05T16:08:19.000Z
Author:Aniket Hande	AuthorChannelId:{value=UC8CgupzrZ_i0_63PQwqjynw}	Comment:worst fucking shit video ever.... they reduce automatically, are you kidding me. run your ass off... running everyday with proper diet helps you reduce them.	PublishAt:2017-03-05T08:41:37.000Z
Author:ARPIT ANAND	AuthorChannelId:{value=UCkiuar3lj-uJosahG7hIe6Q}	Comment:insan jaisa bat kar chutiye	PublishAt:2017-03-04T10:08:23.000Z
Author:gaurav arelly	AuthorChannelId:{value=UCGzS3wDpW6LQsPG3JRhq26g}	Comment:its fucking clenbutrol result....	PublishAt:2017-03-03T20:48:20.000Z
Author:MrMaverick1865	AuthorChannelId:{value=UCZWOIXCkc5VNFyEzKJPV62w}	Comment:You fucking asshole !!!!!! Just speech no show exercise	PublishAt:2017-03-01T09:36:28.000Z
Author:No Here Kruger	AuthorChannelId:{value=UCXDZDiczEUtO_dLV3HwTLdA}	Comment:Terrible fucking video.	PublishAt:2017-02-28T16:48:19.000Z
Author:TheSithfrost	AuthorChannelId:{value=UCKblj-nztH-5IFs-MHcVBLQ}	Comment:You didn't said anything...	PublishAt:2017-02-26T16:35:21.000Z
Author:Sunera Perera	AuthorChannelId:{value=UCpC99icaYoclQa9M4X2wWcw}	Comment:my gosh man, i never thought it would be possible but love handles made me suffer for quite a long time since i was little.but thank you cus u let me know that there is hope	PublishAt:2017-02-25T05:00:52.000Z
Author:DC Geek24	AuthorChannelId:{value=UCvZ584hI1KtWk7tJzN1UUIg}	Comment:How much time for cardio do you do	PublishAt:2017-02-24T02:09:46.000Z
Author:Andrew	AuthorChannelId:{value=UCDbfaBwQqD_pzTsNXsH3uOQ}	Comment:what about cardio	PublishAt:2017-02-23T16:29:20.000Z
Author:Khalid Yassein	AuthorChannelId:{value=UChgHUDQgX0fbZL17ZClI-8g}	Comment:ram ghuman what body type are. you??	PublishAt:2017-02-22T20:18:07.000Z
Author:hyacinthdibley	AuthorChannelId:{value=UC3MHJlEg53qmc4n3ZYNv4Vw}	Comment:.....Titties! bahaha	PublishAt:2017-02-22T05:19:34.000Z
Author:Randeep Khattra	AuthorChannelId:{value=UCXNQzjL7yIVHV_L_e8olddA}	Comment:-1%usefull	PublishAt:2017-02-18T18:27:37.000Z
Author:Randeep Khattra	AuthorChannelId:{value=UCXNQzjL7yIVHV_L_e8olddA}	Comment:wht u talking abt	PublishAt:2017-02-18T18:27:20.000Z
Author:rasec puente	AuthorChannelId:{value=UCamvvQhdD8A_sJxEsb76LjA}	Comment:how about doing sit ups?	PublishAt:2017-02-15T03:53:30.000Z
Author:Daniel Watson	AuthorChannelId:{value=UCRJ0pfmHIchktrBlTLtEJdg}	Comment:God theyre the worst! I always get them when I bulk, no matter how lean a bulk it is. And then it sucks losing them because I know its the last thing to go, and until they do go I look so unprorportional with a 6pack and wide lats and then squishy sides. I feel like they're never gonna leave every time I cut but I can promisd you guys, once youre near the end of your cut, you need to start getting really really strict with the diet for them to come off. If youre genetically inclined for handles, theyre very sensitive.	PublishAt:2017-02-14T23:07:22.000Z
Author:GGiiGGii G	AuthorChannelId:{value=UCmhKbu2c46VpAkc0E3yU4cQ}	Comment:you fucking prick....i have lost 5 min of my life to watch your crappy english... You are not telling anything in your fucking video.	PublishAt:2017-02-12T21:10:21.000Z
Author:michael therrien	AuthorChannelId:{value=UCAssWUyFi8YCTsFt3N0c0tg}	Comment:I've been doing as much as a pound a day.	PublishAt:2017-02-10T04:37:23.000Z
Author:Flabby Fel	AuthorChannelId:{value=UClStGWl7a7KHxE3WgB-GtJw}	Comment:yo ram! just stumbled onto your channel and am a big fan of the content already! am also a big boy at 6'2'' and 102kg looking to achieve what you amazingly did!  what was your favorite type of cardio? what are your thoughts on rowing for cardio?  greetings from switzerland	PublishAt:2017-02-06T22:09:18.000Z
Author:bilal rauf	AuthorChannelId:{value=UCQcHLayG0n8X9tnkRqvdI2A}	Comment:can you please tell me the diet you followed at start	PublishAt:2017-02-05T20:50:05.000Z
Author:hakan mavruk	AuthorChannelId:{value=UCB3cudw5EsiUmYF8JYrQpPg}	Comment:i have big love handles im getting to anxious about them no one is telling me what exercise or food plan that can help	PublishAt:2017-01-29T00:50:22.000Z
Author:vivek Jivani	AuthorChannelId:{value=UCOG-LKZVKu4H9SY6pzx1m5A}	Comment:heyy can yu tell wt yu had for yur diet?? please	PublishAt:2017-01-25T08:18:56.000Z
Author:beauty of kpk 11	AuthorChannelId:{value=UC1t75cyZqbOPUXyR8WiIJow}	Comment:Dear plz advise the people in u r next vedio  for pull ups exercise it's very very good for love Handel's	PublishAt:2017-01-22T18:04:09.000Z
Author:Nahid Ludi	AuthorChannelId:{value=UCrwh6_4o6KE3KluvSKlSZaQ}	Comment:Thanks bro	PublishAt:2017-01-21T08:49:14.000Z
Author:get entertained	AuthorChannelId:{value=UCY3lUOAijn3m3UyYZmiCRbA}	Comment:I to have	PublishAt:2017-01-19T06:20:05.000Z
Author:All In OnE IndiaN ConsumeR	AuthorChannelId:{value=UCJKbq3dkd57hbse0mdazmFg}	Comment:Awesome bro u had help for this problem👍✌️	PublishAt:2017-01-15T18:44:58.000Z
Author:王庆典	AuthorChannelId:{value=UC51hMb_XaPfx1LqAE43Bwug}	Comment:I saw your transformation process during this video, did you already build quit good muscle before cutting? because i saw you build up some muscle as well while cutting. What I am saying is right?	PublishAt:2017-01-14T11:37:37.000Z
Author:Ali Al-tahm	AuthorChannelId:{value=UCQMnzBegW7qi2RzqA-pyDlQ}	Comment:Well he totally got me hooked and feel bad about my love handles. I'm just the way he is when he was a little chubby. 9 months later he got a sculpture body!!! Now I know I can do that... I will from now on follow him... and I know I can reach the body I want... Thanks Ram for this...	PublishAt:2016-12-28T07:18:54.000Z
Author:Sileighty DK	AuthorChannelId:{value=UCqCiCjLBn6bUYUrnecQC2Ig}	Comment:thanks for the tips man! appreciate	PublishAt:2016-12-21T19:32:19.000Z
Author:chirag kansal	AuthorChannelId:{value=UC4mOsb0CaU3SFM5iAWvxCeQ}	Comment:face ko slim krne no video plz	PublishAt:2016-12-13T18:32:26.000Z
Author:MaSk	AuthorChannelId:{value=UCtCJjsxn2nLKcJEklzajIbA}	Comment:Guys to burn fat I strongly recommend you to use protein.6mals a day that contains high protein and vitamins such as fruits and veggies.try to not to hit up the cardio every single day at least twice per week.	PublishAt:2016-12-03T20:42:35.000Z
Author:MaSk	AuthorChannelId:{value=UCtCJjsxn2nLKcJEklzajIbA}	Comment:Guys its not all about weight it's all about burning fat and building lean muscles.I swear guys when I Was fat i used to starve myself as hell because i thought in this way i could burn fat and get skinny but i swear guys no changes happens to my body and then i kept doing that shit diet until i became sick and not just a skinny kid.i can't even run a mile.but now thank god am in a good shape.guys the more you build muscle the more you burn fat.go to the gym.hit up the cardio .and then go exercise all of your body parts.and guys if you wanna burn fat you should take protein it's really good for burning fat.thats it guys	PublishAt:2016-12-03T20:21:38.000Z
Author:J.R	AuthorChannelId:{value=UCqeIcbQPkDIYmqrxcQJJexg}	Comment:how tall are u?	PublishAt:2016-11-26T09:49:49.000Z
Author:NPSH	AuthorChannelId:{value=UC1Km7hdfD9TRNkBM16yKgYA}	Comment:thanks for tutorial	PublishAt:2016-11-17T22:25:16.000Z
Author:Balach khan	AuthorChannelId:{value=UCuaTuowEh5fPDOEOxSCh_bw}	Comment:love your videos	PublishAt:2016-11-17T07:06:06.000Z
Author:Harry McRae	AuthorChannelId:{value=UCV2HQpf6iZND-qKchnHh-5w}	Comment:Thanks for the advice!	PublishAt:2016-11-16T02:31:51.000Z
Author:Auto Pilot Money Machine	AuthorChannelId:{value=UCpBK40Pt_vOhkOVot-nlyug}	Comment:■■■■■■■■■■■■■■■■■Great job......see my $7000 pay day on channel ■■■■■■■■■■■■■■■■■	PublishAt:2016-11-10T14:16:20.000Z
Author:Arts on the way!	AuthorChannelId:{value=UC5oJKVJX9LXb8JknnRvwEew}	Comment:good english accent!	PublishAt:2016-11-10T13:29:58.000Z
Author:Krishna Agarwal	AuthorChannelId:{value=UC3BfjtFuPz12lHqE2tlbLUQ}	Comment:I have Love handles. I'm Tired of them. I'm already doing a 15 min Cardio Followed by Planks and Jumping jacks. Total 30min Workout everyday Plus Strict diet. Does that gonna help me lose those annoying love handles?	PublishAt:2016-11-09T20:53:31.000Z
Author:plm kon	AuthorChannelId:{value=UCvNrNu064VVNDlAwW4gEOgw}	Comment:Great video. Thanks for the tip.	PublishAt:2016-11-09T11:35:27.000Z
Author:Cherish Swampy	AuthorChannelId:{value=UCD1Ifg8SuiL7nHieffZaiVg}	Comment:show some things to do in your videos......more examples are great....	PublishAt:2016-11-09T07:28:17.000Z
Author:TCB MO	AuthorChannelId:{value=UCn0vlbki3X_egHsts0yIaJw}	Comment:I've heard that after a certain age, if you don't workout, your love handles become permanent	PublishAt:2016-11-08T03:38:11.000Z
Author:John Hamlin	AuthorChannelId:{value=UCGOAnYq6JDxb1ZXGMnjf8LQ}	Comment:No, you can't gain muscle and lose love handles. What this guy did was bulk up to the point where he was somewhat chubby, then cut the fat out. You can see that he is noticeable less muscular now. Yes, he lost the love handles, but he also lost a lot of muscle. I do not recommend cutting when you have just started working out and do not have much muscle mass. That will make you skinnier than before. If you are a chubby guy with some muscle mass, then his plan suits you. For the skinny guys out there with love handles, you will just have to bear it until you are ready to cut. That's how bulking works.	PublishAt:2016-11-07T16:24:58.000Z
Author:Rohit Singh	AuthorChannelId:{value=UCwmbK05MgF5SaSqJJhOwd3g}	Comment:but please tell me which exercise I can do for love handle	PublishAt:2016-10-23T12:29:56.000Z
Author:Sanyam Chadha	AuthorChannelId:{value=UCJ_bMcNVPS8iVnSA4DWCO2g}	Comment:brother... please tell me which exercises to do...for love handles	PublishAt:2016-10-22T18:03:31.000Z
Author:Faraz Qureshi	AuthorChannelId:{value=UCKNnsZJESgX6gOPs7cRFWSg}	Comment:what kind of excersice you will be do for love handle ?	PublishAt:2016-10-19T22:51:18.000Z
Author:Alicia Boxill	AuthorChannelId:{value=UCphLsZbsOUjAD9XCV1vm2rA}	Comment:Haha lol @ titi	PublishAt:2016-10-18T06:57:28.000Z
Author:Diana Valle	AuthorChannelId:{value=UCA9_QlVs09apC8P_iBZRJfA}	Comment:Did you avoid any specific foods that helped you lose your lovehandles? Because i noticed when i avoided sugar and processed foods, mine got smaller, but not gone	PublishAt:2016-10-11T20:46:57.000Z
Author:Steven Acosta	AuthorChannelId:{value=UCRi9UiaheABH05hdZ17_xrg}	Comment:I really don't like love handles. Especially when you notice how bigger one if them can be compared to the other. I run almost everyday and try to eat healthy, but haven't hit the gym that often. Any tips?	PublishAt:2016-10-05T15:49:37.000Z
Author:CJ Heynes	AuthorChannelId:{value=UCxHlaC3YVLow3Y6mv6IPjwg}	Comment:hey bro, im probably around the 3rd picture rn or third month. is cutting back calories and fasted runs/walks best option? even if its only 15-20 minutes of jogging/running every morning? like would that be enough to lose the fat or would i need to increase cardio time?	PublishAt:2016-10-05T08:23:02.000Z
Author:Larry Chaitu	AuthorChannelId:{value=UCOeigIsVKlj9S6FhWqKItWw}	Comment:I'm Running around 2kms For about 2 months, does that helps in reducing body fat, or I'll have to work on specific areas and do exercises accordingly??	PublishAt:2016-10-03T15:28:01.000Z
Author:Mithun RJ	AuthorChannelId:{value=UCFKSfDWxjedHKVoGjI3lleA}	Comment:hey bro , can you make a video on bulking and cutting.	PublishAt:2016-09-23T01:40:44.000Z
Author:S. Luna	AuthorChannelId:{value=UCm9G8l8aEYQySXi28rp339g}	Comment:how much did you weigh before? how much do you weigh now?	PublishAt:2016-09-22T02:20:29.000Z
Author:skillz xD	AuthorChannelId:{value=UC-covo8RBVtcghn9J8mfvbQ}	Comment:u took steroids?	PublishAt:2016-09-19T13:53:49.000Z
Author:BB	AuthorChannelId:{value=UCNtiz6OWrlCjT8sTDWiLU6w}	Comment:"Titties"  -  amazing wing-man comment!	PublishAt:2016-09-11T16:50:14.000Z
