id:__nbHKdMPnk
title:Beyoncé’s “Love Drought” Isn’t Actually About Jay Z
categoryId:24
publishedAt:2016-06-15T16:13:14.000Z
location:12.156817515632046,170.6737081888215
description:Songwriter Ingrid Burley explains what really inspired the ‘Lemonade’ track.
Author:Zoey Von	AuthorChannelId:{value=UC0fnlm5ODrmKndvuBprs0DA}	Comment:Love it, love it , love it.... I’m feeling the lyrics	PublishAt:2018-02-18T06:27:36.000Z
Author:Night Wolf	AuthorChannelId:{value=UCQTgNp4NVYpQ_IgoWkq6sYA}	Comment:Exactly, "You and Me could move a mountain!"💝	PublishAt:2017-11-06T07:07:29.000Z
Author:NYC Finest	AuthorChannelId:{value=UCcS9seFj7k7JGJaNXYMS6kg}	Comment:It's about Jay - Z. I could write a song about about my father and I can give the song to Beyoncé and *for her* it could be about her kids, her father or her husband.	PublishAt:2017-10-03T21:39:25.000Z
Author:Ingrid Muniz	AuthorChannelId:{value=UCWMsmkrYAPaRAzhHCoR57ww}	Comment:I love how her name is Ingrid and so is mine and we both from Houston and i vibe to her and I don’t even know her	PublishAt:2017-10-02T09:56:39.000Z
Author:Almighty Covin	AuthorChannelId:{value=UC036IUa6ZewqCLb8_SqoDRw}	Comment:Thank you for writing it it's my ringtone lol	PublishAt:2017-09-24T18:26:02.000Z
Author:brittany alexander	AuthorChannelId:{value=UCsIIxfwktNj54HLNAwbh1vg}	Comment:I loveeeeeeee this!!!	PublishAt:2017-08-29T16:59:03.000Z
Author:Carlie B.	AuthorChannelId:{value=UCZ6IoM2IvXbGlf4CZdbzewQ}	Comment:This like a hood version of Love Drought LOL	PublishAt:2017-07-28T04:12:18.000Z
Author:Ramona KOna	AuthorChannelId:{value=UC5mylrWdM2F_mENafM8YsSw}	Comment:That's crazy she literally wrote the song in 30 min bc that's how she was feeling entering the place 😂😂 she's gifted	PublishAt:2017-07-19T18:44:39.000Z
Author:Vickie Caldwell	AuthorChannelId:{value=UC8QhaTi3OfuLKMqlrB7aveA}	Comment:These lyrics are truth!  I had never heard of Ingrid Burley prior to this.  Love, Love, Love!!	PublishAt:2017-07-19T14:01:39.000Z
Author:Nicole Rich	AuthorChannelId:{value=UC996lbronhgHwdo79IP2KUg}	Comment:that's dope how she came up those lyrics	PublishAt:2017-07-10T11:20:48.000Z
Author:Toi Braylon Arceneaux	AuthorChannelId:{value=UCO8OliiaZhHqT3rvpx129sQ}	Comment:she came to my house and she my cousin	PublishAt:2017-07-07T21:56:15.000Z
Author:Ruth htuR	AuthorChannelId:{value=UCsscmeq7i-Ct7dc9QJ8TQ4Q}	Comment:I like her... she seems chill	PublishAt:2017-06-30T18:16:24.000Z
Author:Tobi B	AuthorChannelId:{value=UC9rAcxMAstFynJuH2K9Jzow}	Comment:Oh my gosh	PublishAt:2017-06-30T11:55:21.000Z
Author:angela3605	AuthorChannelId:{value=UCHwoO1OOx8DSMePbS13_XpA}	Comment:gifted	PublishAt:2017-06-25T02:28:10.000Z
Author:Cedijah Marie	AuthorChannelId:{value=UC0y3SVyaSvplbJL6PyukaPA}	Comment:damn she fye 🔥	PublishAt:2017-06-18T08:23:28.000Z
Author:Clout Jae	AuthorChannelId:{value=UC1JckyYukcuVKSKXgLKwXLQ}	Comment:............i feel like u rlly didnt even rite tht song 😑jk	PublishAt:2017-06-10T05:27:22.000Z
Author:Tiare ahoia	AuthorChannelId:{value=UC1cDcfyZE6a0WJhLgpZ1jXA}	Comment:Ingrid is a genius! Love the story behind why she actually wrote this song. I honestly thought it was about Jay-Z after reading the lyrics lol This is my absolute fave song	PublishAt:2017-06-09T22:05:45.000Z
Author:Kamila Mafra	AuthorChannelId:{value=UCZhsdzDXa9nOvg4lTyMyiWg}	Comment:Gente, eu nao entendi sobre o que mentiram pra ela??? Que a Bey nao tava ouvindo musicas novas?? Algum Brasileiro'????	PublishAt:2017-06-08T15:45:31.000Z
Author:Fuckhowufeel504	AuthorChannelId:{value=UCFuk-ubNznGnmNejk3c9kAQ}	Comment:Just wanted to drop in and say RHI CANT SING FOR SHIT (only has sex appeal) .... bye now!	PublishAt:2017-05-20T14:32:25.000Z
Author:Fuckhowufeel504	AuthorChannelId:{value=UCFuk-ubNznGnmNejk3c9kAQ}	Comment:Just wanted to drop in and say RHI CANT SING FOR SHIT (only has sex appeal) .... bye now!	PublishAt:2017-05-20T14:32:15.000Z
Author:John Doe	AuthorChannelId:{value=UCohkmqjPkX3cmCtUNP31lvw}	Comment:lmao the hive's latest favorite excuse for her not writing her music "beyonce did vocal arrangements THAT'S what makes a song"	PublishAt:2017-05-06T19:49:36.000Z
Author:A.J. Lee	AuthorChannelId:{value=UCDMk7udMGQ8HZMjVPGh9ZTQ}	Comment:damn she is good	PublishAt:2017-04-27T23:34:23.000Z
Author:Scrumptious Saucy	AuthorChannelId:{value=UCSmXWUWQOMMYCRoSavrBMiw}	Comment:GENIUS	PublishAt:2017-04-21T01:51:59.000Z
Author:Chloe Elbert	AuthorChannelId:{value=UC3WP-xCWfOTxm5L2aIahHNw}	Comment:INGRID I LOVE THIS!	PublishAt:2017-03-30T14:47:18.000Z
Author:Shamaiah Edwards	AuthorChannelId:{value=UCzpuZVO9oTKcOrcSP1KhI_Q}	Comment:so what I'm hearing is B didn't write this 😭	PublishAt:2017-03-27T02:33:27.000Z
Author:Anne Bredeli	AuthorChannelId:{value=UCP_I93WdPsufjt3nRfkorDA}	Comment:I would like a video like this for every song in Lemonade.	PublishAt:2017-03-25T21:10:41.000Z
Author:Carlos Del Angel	AuthorChannelId:{value=UCSfBRazPayGC8DpWLRTClMg}	Comment:I always come back to this video. Hearing the thought process is so captivating and it's one of my favorite songs. Beautiful & inspiring work	PublishAt:2017-03-25T04:39:43.000Z
Author:Poufkimashoula1	AuthorChannelId:{value=UCCV2HidXV8_n9eIs7_RISAA}	Comment:I'm kind of disappointed. I was hoping Bey had more weight in the writing of the songs. The whole time I was trying to figure out her thought process on co-writing them as a way of feeling even better every word she was saying. Now, while Ingrid is great, listening to HER meaning behind it changes the impact the song has on me. :(	PublishAt:2017-03-21T00:22:41.000Z
Author:ToshiMinaj3011	AuthorChannelId:{value=UCa14K1O7quJs8ijYK0TvTdA}	Comment:this my favorite song plus All night	PublishAt:2017-03-18T22:25:22.000Z
Author:STixa CC	AuthorChannelId:{value=UCNDBYycKMC045lM0CvRfvTA}	Comment:Lemonade isn't about Jay-Z	PublishAt:2017-03-17T01:08:44.000Z
Author:Mira Hite	AuthorChannelId:{value=UC41m_0k0nHVTQf4CvPi7T1A}	Comment:the irony....	PublishAt:2017-03-15T13:57:43.000Z
Author:gezzy2short	AuthorChannelId:{value=UCWrHnl10JhgPT7Pju9cHQHQ}	Comment:and then Beyonce Fired everyone on her label. Am sure this was one of the reasons y.	PublishAt:2017-03-15T00:25:10.000Z
Author:Imani Johnson	AuthorChannelId:{value=UCMuIoy5r2pJrg7CSbYtQvhg}	Comment:A beautiful lyricist and a beautiful song.	PublishAt:2017-03-14T22:24:14.000Z
Author:Ab Dou	AuthorChannelId:{value=UCsvhtXPUvZ-VJs6fvCroIyw}	Comment:this is my favourite song from LEMONADE  BEYONCE is strict and smart when it comes to choosing the right writers and the deep meaningful lyrics	PublishAt:2017-03-14T21:49:15.000Z
Author:Noel Martinez	AuthorChannelId:{value=UCidgOy70mFHePUjBXlZKsgA}	Comment:That's talent, to be able to think in poetic terms. Like knowing where to go with the next line and the rhyme scheme.	PublishAt:2017-03-13T16:00:00.000Z
Author:Joyce Thatcher	AuthorChannelId:{value=UCn_o6nB8WRny4iyb_T7uJaA}	Comment:My favorite Song ‼️	PublishAt:2017-03-13T06:50:04.000Z
Author:quenquen411	AuthorChannelId:{value=UCw5-AAJ9B3_tFeWIqaJLJiw}	Comment:Kind of makes you realize why Beyoncé shouldn't have won that grammy over Adele, when she's just interpreting other people's art. The poetry is from someone else..... some if not most of the songs are written by someone else. I think singer-songwriters should definitely have the advantage, rather than professional karaoke superstars, like I guess most popular artist are.	PublishAt:2017-03-13T00:59:32.000Z
Author:Charde Loyala J.	AuthorChannelId:{value=UChEqdbrxW1VfAJko3ggDIfg}	Comment:The power of a gift I tell you 😳	PublishAt:2017-03-12T14:06:51.000Z
Author:Ms Lei	AuthorChannelId:{value=UCQUIuC2J0BOJ8gQR0o5nDXg}	Comment:Music is just a poem with a beat	PublishAt:2017-03-12T08:09:20.000Z
Author:Ms Lei	AuthorChannelId:{value=UCQUIuC2J0BOJ8gQR0o5nDXg}	Comment:this girl has talent!!	PublishAt:2017-03-12T08:09:00.000Z
Author:Lizandra Barboza	AuthorChannelId:{value=UChtKvtYH7RGkVkBfUPUeZHQ}	Comment:I can't believe her lol this story  is too crazy	PublishAt:2017-03-12T03:31:17.000Z
Author:Cheyanne Holmes	AuthorChannelId:{value=UC1M2JFARafjgzRB9B0mzI8Q}	Comment:This was very informative, I'm loving this channel	PublishAt:2017-03-11T16:37:53.000Z
Author:gasmine hood	AuthorChannelId:{value=UCfQe-VA4-fNOn7LugbRomKg}	Comment:Very Clever 💪🏽❤	PublishAt:2017-03-11T03:13:48.000Z
Author:Ria Parris	AuthorChannelId:{value=UCf_sUlSDJeMeIA0T-BXKUdg}	Comment:this is my favourite video where the artist explains the meaning. it flowed outta her so naturally lol	PublishAt:2017-03-10T18:38:05.000Z
Author:indigo Rager	AuthorChannelId:{value=UCoxoajoZ0E79KIWFRTCHezQ}	Comment:Lemonade wasnt about jayz. Cmon	PublishAt:2017-03-08T23:33:42.000Z
Author:JusTyree	AuthorChannelId:{value=UCSWM-qSqKHEVCfA4RlcOLpA}	Comment:Hmm	PublishAt:2017-03-08T16:00:54.000Z
Author:micah boykin	AuthorChannelId:{value=UCVX2EtcXvsfDG7ZJEIOoqIg}	Comment:damn that's crazy good	PublishAt:2017-03-08T03:55:39.000Z
Author:COSMEHOLICS ANONYMOUS	AuthorChannelId:{value=UCH7w3n2qKX2N6r3o671ksHQ}	Comment:She just became my fave lmao just like that	PublishAt:2017-03-07T07:47:58.000Z
Author:Kim BlaQue	AuthorChannelId:{value=UCRyJPUWXh_gHmoBUbtHUKPg}	Comment:She can totally do spoken word	PublishAt:2017-03-06T23:03:37.000Z
Author:B	AuthorChannelId:{value=UC0x4eEuZaR40UO-lnHKwsoA}	Comment:This is my one of my FAVORITE songs of this album. It's amazing. I wish to see more videos with her.	PublishAt:2017-03-04T15:34:01.000Z
Author:Tay Nicole	AuthorChannelId:{value=UCG690ye0Ei_ExS3z04y8FOg}	Comment:Her thought process and how she describes and explains it gave me chills. She has a lot of personality. Wish more people knew she was a the genius behind it. Truely lyrical.	PublishAt:2017-03-04T04:18:30.000Z
Author:Andria Michele	AuthorChannelId:{value=UCqIlZTf7y122rGSN1UArOIQ}	Comment:Yoooo I like this	PublishAt:2017-03-04T03:11:54.000Z
Author:Nasia Tatum	AuthorChannelId:{value=UCqlSigbKEKz9NSRUEQr71iA}	Comment:She's cool	PublishAt:2017-03-04T03:05:52.000Z
Author:Artist Da God	AuthorChannelId:{value=UCj4tUU1dTwfrCrgJIoeMpPQ}	Comment:I like her	PublishAt:2017-03-04T02:32:00.000Z
Author:Jacque Jacque	AuthorChannelId:{value=UCc0-c05V502SL_5QvzcCwfg}	Comment:Ive been following this Queen for a minute. Such a great lyricist <3	PublishAt:2017-03-03T22:25:10.000Z
Author:Matias Kunica	AuthorChannelId:{value=UCzqVPbc4meR14r-35KqiMlA}	Comment:SHE'S A GENIOUS	PublishAt:2017-03-03T05:47:22.000Z
Author:hellowhitepeople	AuthorChannelId:{value=UCUbvapijxOFIAVNIf3YfAyA}	Comment:love her coat	PublishAt:2017-03-02T11:16:11.000Z
Author:Ciarra Johnson	AuthorChannelId:{value=UCyBEmIZaXNYvO03eDc6v5Eg}	Comment:This makes me think of Donny Hathaway's "This Christmas"❤️ The lady who wrote it said she wrote it, but you couldn't tell by the end he didn't write it👊🏿	PublishAt:2017-03-01T18:26:20.000Z
Author:Yudah El	AuthorChannelId:{value=UCZBylkeMEudCrF7TJfW5mgw}	Comment:and you're telling us this why? Girl take that lil five minutes and gtfoh.  yo time up	PublishAt:2017-03-01T14:53:14.000Z
Author:robert bulter	AuthorChannelId:{value=UC1hMdtNT3prX1UIZMktIFsQ}	Comment:Well we know that wasn't bout jay z but they don't realize Becky means head ... not white girl ... u wouldn't say Becky with the good hair talking bout a white girl !!!	PublishAt:2017-03-01T11:01:45.000Z
Author:Brannavy Jeyasundaram	AuthorChannelId:{value=UCZm1fV1EVdDEmHEalRjO-yg}	Comment:i love this	PublishAt:2017-03-01T07:01:51.000Z
Author:Sav Soleil	AuthorChannelId:{value=UCssnHqIgRwqmSKtUEhqpRVg}	Comment:In love with the flow and creativity. Black female excellence.	PublishAt:2017-03-01T02:54:15.000Z
Author:AyeAyeSP	AuthorChannelId:{value=UCO8c7p6zSPFC8AdVL2bRO6A}	Comment:Very Dope! Write her the fucking check!!!!!	PublishAt:2017-03-01T01:37:56.000Z
Author:River Cartier	AuthorChannelId:{value=UChIHvXwy_fhDIpmNzOfGIMw}	Comment:Kanye?	PublishAt:2017-02-28T23:26:29.000Z
Author:Charlotte	AuthorChannelId:{value=UCf1zqssUZN73U5IodBe5WyA}	Comment:this was never one of my faves from lemonade but after watching this i hear the song in a completely different way and i love it so much	PublishAt:2017-02-28T22:33:27.000Z
Author:Maluzinez	AuthorChannelId:{value=UCRWJje3HadXUwdsjBS4C6_w}	Comment:GENIUS	PublishAt:2017-02-28T17:49:31.000Z
Author:Kevin Johnson	AuthorChannelId:{value=UCMNXBCNHiUEbQOsyiX6rUBQ}	Comment:Lol she's adorable and annoying at the same damn time	PublishAt:2017-02-28T17:21:03.000Z
Author:jeleah swan	AuthorChannelId:{value=UCLe77ZyA4tAbIRyXz7ntyvA}	Comment:awwww she's so cute	PublishAt:2017-02-28T15:35:46.000Z
Author:illinthe_____	AuthorChannelId:{value=UCwGyIFgyj-WcWtOobs6GtAw}	Comment:Love it - this is my favorite song from Lemonade. People think I'm crazy but I FEEL this song so much. I'm glad to hear this story from her! Love hearing from songwriters!	PublishAt:2017-02-28T08:21:41.000Z
Author:Ashleyinwonderland	AuthorChannelId:{value=UCOX5ojl_E0bqFp5IC1J76vA}	Comment:That looks like an Ivy Park jacket <3 This song is my favorite on Lemonade.	PublishAt:2017-02-28T06:04:59.000Z
Author:Alex Miller	AuthorChannelId:{value=UC8tsUNu6qXLvKzqvbErtLXQ}	Comment:she's amazing and adorable	PublishAt:2017-02-28T05:06:57.000Z
Author:Tiffani Rawlings	AuthorChannelId:{value=UC5O9EJscUvx5xOu6nkiyLPw}	Comment:Thats amazing that she wrote it. She's an amazing lyricist.	PublishAt:2017-02-28T05:04:06.000Z
Author:Richard M	AuthorChannelId:{value=UC7cswSxUwoNciiM-h-NQ-3A}	Comment:They need to get chigga or xxxtenacion on here	PublishAt:2017-02-28T03:48:08.000Z
Author:Sherelle Willis	AuthorChannelId:{value=UCnwPGNvuE_tIwLt7mVNSczg}	Comment:This woman is so dope and creative God has truly blessed her with a gift. I love the song even more now	PublishAt:2017-02-28T03:12:19.000Z
Author:cmhammo	AuthorChannelId:{value=UCDOFZQ4QF55aphCH_1LTkFQ}	Comment:THIS WOMAN IS A POET	PublishAt:2017-02-28T02:49:28.000Z
Author:King's Queen	AuthorChannelId:{value=UCTLRz3jQY5ZBTUoy0-_3ldQ}	Comment:I love her	PublishAt:2017-02-28T02:35:29.000Z
Author:Daletia	AuthorChannelId:{value=UCwxche2F4q94UU_rZuiLEig}	Comment:Wow! This was sooo inspiring!	PublishAt:2017-02-27T22:43:57.000Z
Author:Nj P	AuthorChannelId:{value=UCVSj8g-z1yXN9WMvFvg-E8g}	Comment:this is the best one, I like the perspective from the song writer. can you please try to do more of this . shes dope still ..	PublishAt:2017-02-27T22:27:33.000Z
Author:Serena Marie	AuthorChannelId:{value=UCoDwt5SV8r8a5Vnvrmh3WiQ}	Comment:WOW She's amazing!!!	PublishAt:2017-02-27T20:52:57.000Z
Author:Tee Jay	AuthorChannelId:{value=UCza1z__cmwHCy9vl_Ks5UZw}	Comment:Deep! Gifted! Black! Woman!	PublishAt:2017-02-27T09:29:23.000Z
Author:James Lévi	AuthorChannelId:{value=UC7XCGIYc_LV4fBjX7TfKZuw}	Comment:Oh My God I love the song even more now that u put it all into perspective!	PublishAt:2017-02-27T08:15:20.000Z
Author:deepvoicegirl28	AuthorChannelId:{value=UCwuHtv9T8a6CloDjCPKWGlw}	Comment:it's amazing how the original meaning was one thing but when beyonce sang it it got a whole another meaning	PublishAt:2017-02-26T23:18:21.000Z
Author:Lauryn Banks	AuthorChannelId:{value=UCsKZG69lrG2dA1zbPY-AlSw}	Comment:Genius	PublishAt:2017-02-26T15:48:15.000Z
Author:Hannah Poon	AuthorChannelId:{value=UCq61WR2FlxePkGbwuC-1ehw}	Comment:WOW!!!! this is amazing!!!	PublishAt:2017-02-26T03:41:14.000Z
Author:Raiven Noel	AuthorChannelId:{value=UCZg1Y-CBKLMU22w1khqw_PQ}	Comment:Okkkkk I'm here for this too	PublishAt:2017-02-25T14:40:18.000Z
Author:may m	AuthorChannelId:{value=UCF9RvS2GmTnWutEB4Pnp0Tw}	Comment:very talented	PublishAt:2017-02-25T14:21:24.000Z
Author:Mic'a Sahara	AuthorChannelId:{value=UC7hAWRh0KTVeHFHP9IQOrvQ}	Comment:wow I love how she explained it lol I was so intrigued	PublishAt:2017-02-25T06:10:04.000Z
Author:Phynechina	AuthorChannelId:{value=UC3ArLYP9x1f4-laUVzeqk0Q}	Comment:This just goes to show how it takes a team AMAZING!!!!	PublishAt:2017-02-24T11:39:18.000Z
Author:Shelisa	AuthorChannelId:{value=UCJwUC3XstKP48ERiOtIuU7Q}	Comment:Amazing	PublishAt:2017-02-23T03:59:25.000Z
Author:MissKAMKD	AuthorChannelId:{value=UCABTTny_Cc3uaXRrNYLR1eg}	Comment:Pretty dope	PublishAt:2017-02-22T22:59:47.000Z
Author:CHANEL IMANN	AuthorChannelId:{value=UCivCDVVpjEX7zIT3SkXVTcQ}	Comment:the best one yet	PublishAt:2017-02-21T22:33:04.000Z
Author:The Princess Machiavellian	AuthorChannelId:{value=UC8QGbVWciQSBN-kTPG50P9A}	Comment:People beClapping for the wrong reasons	PublishAt:2017-02-21T16:37:48.000Z
Author:Stacey Barrett	AuthorChannelId:{value=UCve2LB-1KPSldB-6chdT3mw}	Comment:this is actually amazing	PublishAt:2017-02-21T09:19:22.000Z
Author:Alex 7	AuthorChannelId:{value=UCodDQ03yJ6e8FjG5B9yXLvQ}	Comment:She is a great lyricist.	PublishAt:2017-02-20T05:41:52.000Z
Author:shuaniqua williams	AuthorChannelId:{value=UCwd2as1oEuFHHZKnf88CTdQ}	Comment:Her names under writer on wiki stfu about . Whoever wrote is amazing and the person that sung it sang the hell out of it !	PublishAt:2017-02-19T22:28:40.000Z
Author:desiree williams	AuthorChannelId:{value=UCv2HDd0_Tz-RANZNnwl7ENQ}	Comment:tbh love drought was my least fave song but after watching this I gotta lot of appreciation for it! imma go listen after	PublishAt:2017-02-18T07:12:01.000Z
Author:a. l	AuthorChannelId:{value=UCtzXJCkLfMJnIJvmrksfx2g}	Comment:hellllllllll nawl. girl ...the 🚪	PublishAt:2017-02-18T02:43:46.000Z
Author:KAYLAKIANA BEAUTY	AuthorChannelId:{value=UCjhgtaRLfZs_2Sbin2OWWzA}	Comment:shes amazing. like wow, just fell in love with lyricism	PublishAt:2017-02-16T17:40:46.000Z
Author:limelicious	AuthorChannelId:{value=UCBARn_fgcAOx3WmufC_05tw}	Comment:I watched Love Drought video first. I couldn't understand what the lyrics means. I thought it is some deep stuff. Then I came here and I was like LOL Oh kay Beyonce.	PublishAt:2017-02-15T03:48:18.000Z
Author:Kay Hay	AuthorChannelId:{value=UCPoDS6WFRKXxtTSSWi1ivzA}	Comment:learned something new🤗	PublishAt:2017-02-15T00:47:08.000Z
Author:Miracle Jacobs	AuthorChannelId:{value=UCQZrCJBASBPnEInaI0egDhQ}	Comment:Genius.	PublishAt:2017-02-14T06:29:40.000Z
Author:Danielle Mills	AuthorChannelId:{value=UChgKaG-bYRTpXnIyXa5UBew}	Comment:MIND BLOWWWWNNNN😮 Really that's what the song was about genius just genius😂 Absolutely not the way I imagined she was going to tell it at all.	PublishAt:2017-02-14T02:42:23.000Z
Author:Nasia Walker	AuthorChannelId:{value=UCQnoHpLDcplb63Mst871GTA}	Comment:too dope	PublishAt:2017-02-12T22:21:17.000Z
Author:noxi music	AuthorChannelId:{value=UCgMIncfUlq9MrIrSxFaMn_A}	Comment:beautiful song, amazing lyricist, brilliant singer	PublishAt:2017-02-11T18:37:51.000Z
Author:Gregory McKee	AuthorChannelId:{value=UCQc76rwaBxnsDOWG4MY39jw}	Comment:Very clever writing...good stuff.	PublishAt:2017-02-03T13:26:39.000Z
Author:Alleyiaah	AuthorChannelId:{value=UCtIlYeLs1FLc0kpQw7mqdrA}	Comment:Ingrid is also an old Danish/might even be Scandinavian name - which literally doesn't match her whole game and speech LOL like old grannies in their 80s kind of name	PublishAt:2017-01-18T14:52:11.000Z
Author:Rodrick Ross	AuthorChannelId:{value=UCfSL2LNjDS8j-koFKvbkNUQ}	Comment:very informative	PublishAt:2017-01-06T20:51:45.000Z
Author:Kaizer Allen	AuthorChannelId:{value=UC_e5KLdLs5S3yXXn1xL6zhA}	Comment:She literally just recited the lyrics line by line.	PublishAt:2016-12-29T13:23:56.000Z
Author:Keltron Tubbs	AuthorChannelId:{value=UCoFhonmKI7JoUjvL88-NklQ}	Comment:This made Ingrid bae!	PublishAt:2016-12-29T05:40:12.000Z
Author:Roosvelt Mansouy	AuthorChannelId:{value=UC3TJ-uDgpQvwtWcln09iBAA}	Comment:if people don't know is not a real Beyonce fan you know that lemonade is not about her and Jay-Z it's about her mom and her dad the whole relationship her dad cheated on her mom	PublishAt:2016-12-24T18:56:31.000Z
Author:humbly humble	AuthorChannelId:{value=UCxPh5czNvzrLM3f01XoMgEg}	Comment:shes really talented	PublishAt:2016-12-21T16:25:19.000Z
Author:Kelly Moten	AuthorChannelId:{value=UC7qqE3fxV71cs0V5cY9R_pw}	Comment:She no damn well she didn't write that song because it's a video of BEY in the studio singing it and then she stops and thinks and adds more lyrics just like she does all her other songs so	PublishAt:2016-11-26T20:40:40.000Z
Author:uknoyogirl	AuthorChannelId:{value=UCnTffjcNldKfDs-jswW5VpA}	Comment:I still think it is about Jay regardless.	PublishAt:2016-11-26T06:08:27.000Z
Author:corinthians	AuthorChannelId:{value=UCk9jq2aA1f7ElDAVMG6dTiQ}	Comment:LOL I looooove this!!!	PublishAt:2016-11-18T16:31:06.000Z
Author:the_turn_up_princess	AuthorChannelId:{value=UCTpDPRLt_PUQDZfKnNIOjxw}	Comment:she's dope	PublishAt:2016-11-16T19:34:23.000Z
Author:shdia101	AuthorChannelId:{value=UCOPD8xsnI1R6JyKz1ZJn8Dw}	Comment:So technically she didn't "cowrite" it. She wrote it.	PublishAt:2016-11-16T04:11:58.000Z
Author:ivonna gentry	AuthorChannelId:{value=UC1yMFLAsoVkkJwWru2_cOzg}	Comment:the way she was explaining the lyrics sounded like she was just said any thing	PublishAt:2016-10-29T17:18:18.000Z
Author:Jhirae Talmadge	AuthorChannelId:{value=UC8FGNFdoC1ep-qCcAJIAS1A}	Comment:She's dope!!	PublishAt:2016-10-29T02:19:02.000Z
Author:Joel aboagye	AuthorChannelId:{value=UC5421uiFF1xk84oxrG2D8Kw}	Comment:Creative genius	PublishAt:2016-10-23T18:52:40.000Z
Author:Talea Hollmon	AuthorChannelId:{value=UCwG-Av2ZCA4n6iw25KukUPA}	Comment:I don't believe that explanation it sounds like a cover up for Beyoncé spilling tea about they relationship. I mean come on how do you get a love song out of a negative relationship with a record label 🤔😂 bullshit.	PublishAt:2016-10-17T08:55:27.000Z
Author:Kianta Javon	AuthorChannelId:{value=UCrv0sEeXDJ9qoudkA7SWh0g}	Comment:Beautiful mind! Your so talented my FAVORITE SONG ON THE ALBUM!!! thank u so much for this!!!	PublishAt:2016-10-17T02:49:51.000Z
Author:Emanuel Barros	AuthorChannelId:{value=UC0b7VAR2ESI88MSqJ4PRw0A}	Comment:she is so fucking inteligent	PublishAt:2016-10-14T03:46:42.000Z
Author:Prince Quince	AuthorChannelId:{value=UC6CWcVmoQigsH21ZtOKwv_A}	Comment:love drought is one of my favorite songs on the album! good job on writing	PublishAt:2016-10-12T16:03:39.000Z
Author:CaapriceTube	AuthorChannelId:{value=UC9xJrmP-0f2ekGi4w8jfvGw}	Comment:She look like Tyra Banks + Vivca A Fox and a touch of Tatiyana Ali.	PublishAt:2016-10-12T08:14:27.000Z
Author:ashanti smith	AuthorChannelId:{value=UCoq6UNMdjOhd-exDzwBjBfQ}	Comment:hi can't believe Beyonce stole her lyrics  however she did sing it well	PublishAt:2016-10-11T02:51:35.000Z
Author:Kebzay	AuthorChannelId:{value=UCykJONAHAL1laLEErzS3_gQ}	Comment:This is pure talent tbh	PublishAt:2016-10-10T00:13:23.000Z
Author:Ms. Wells	AuthorChannelId:{value=UCeojxzCIwJKDcrIsPLeHnIQ}	Comment:I think this is my favorite favorite favorite Beyoncé song	PublishAt:2016-10-02T23:44:44.000Z
Author:SpeedHomeAttack	AuthorChannelId:{value=UCsoGS4TTqM6Y-uvIPZaLfbw}	Comment:You guys are upset about artist not writing their own in 2016? Thought we would've been past that since a lot of artist don't write.	PublishAt:2016-09-30T02:23:47.000Z
